time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-21T13:48:08.337Z,51.5397,-178.5227,64.983,4.2,mb,39,179,0.331,0.91,us,us6000ivhm,2022-10-21T17:40:52.335Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,9.39,10.439,0.054,97,reviewed,us,us
2022-10-21T12:45:59.030Z,35.2906,-4.0729,10,4.4,mb,44,116,2.091,0.57,us,us6000ivhg,2022-10-21T13:10:40.664Z,"",earthquake,6.4,1.887,0.114,22,reviewed,us,us
2022-10-21T11:44:50.554Z,-7.8811,127.654,55.203,4.4,mb,25,51,3.612,0.82,us,us6000ivhb,2022-10-21T12:10:03.040Z,"101 km NE of Lospalos, Timor Leste",earthquake,3.99,9.306,0.149,13,reviewed,us,us
2022-10-21T10:53:40.216Z,-18.459,-69.5024,133.549,4.2,mb,19,60,0.123,0.42,us,us6000ivgz,2022-10-21T14:14:14.040Z,"84 km E of Arica, Chile",earthquake,7.06,5.697,0.2,7,reviewed,us,us
2022-10-21T10:28:05.372Z,10.6844,125.4613,106.025,4.4,mb,27,113,3.593,0.67,us,us6000ivh1,2022-10-21T14:07:36.040Z,"32 km ENE of Hingatungan, Philippines",earthquake,13.8,1.855,0.13,17,reviewed,us,us
2022-10-21T10:19:12.913Z,72.2917,2.2484,10,4.4,mb,50,96,6.901,0.51,us,us6000ivgt,2022-10-21T10:39:01.040Z,"Norwegian Sea",earthquake,8.6,1.907,0.089,36,reviewed,us,us
2022-10-21T09:18:35.724Z,-19.9683,-174.7,150.585,5.2,mb,42,130,0.359,0.8,us,us6000ivgm,2022-10-21T09:37:59.040Z,"40 km WSW of Pangai, Tonga",earthquake,8.89,6.059,0.093,38,reviewed,us,us
2022-10-21T08:34:57.232Z,19.6375,-109.2813,10,4.3,mb,16,204,6.996,0.65,us,us6000ivgj,2022-10-22T04:31:52.040Z,"",earthquake,6.62,1.968,0.161,11,reviewed,us,us
2022-10-21T08:19:24.571Z,7.6926,-82.3682,10,4.6,mb,28,152,1.139,0.73,us,us6000ivgg,2022-10-21T17:43:43.150Z,"60 km SSW of Boca Chica, Panama",earthquake,7.2,1.944,0.207,7,reviewed,us,us
2022-10-21T07:39:54.029Z,-21.5495,-176.0501,207.251,4.6,mb,20,137,0.875,0.46,us,us6000ivgd,2022-10-21T08:00:40.040Z,"97 km WSW of Haveluloto, Tonga",earthquake,14.17,8.985,0.151,13,reviewed,us,us
2022-10-21T06:19:49.260Z,37.4209,141.3298,42.158,4.9,mb,113,115,2.648,0.7,us,us6000ivg5,2022-10-21T13:41:40.905Z,"29 km ESE of Namie, Japan",earthquake,7.03,5.312,0.062,82,reviewed,us,us
2022-10-21T06:00:48.480Z,18.1961,-68.0041,83,3.51,md,12,163,0.1397,0.13,pr,pr2022294000,2022-10-21T07:06:17.606Z,"60 km SE of Punta Cana, Dominican Republic",earthquake,0.89,0.73,0.05,5,reviewed,pr,pr
2022-10-21T05:40:46.264Z,53.8534,-131.5802,7.272,3.8,mb,26,120,0.748,0.76,us,us6000ivft,2022-10-21T21:40:31.980Z,"97 km WSW of Prince Rupert, Canada",earthquake,1.74,6.268,0.192,7,reviewed,us,us
2022-10-21T03:56:35.136Z,-19.0123,-172.7939,10,4.9,mb,31,124,1.198,0.95,us,us6000ivf4,2022-10-21T04:17:02.040Z,"131 km ESE of Neiafu, Tonga",earthquake,5.16,1.894,0.056,102,reviewed,us,us
2022-10-21T03:35:50.245Z,-10.4441,161.3933,65.909,4.6,mb,28,78,1.74,0.93,us,us6000ivf1,2022-10-21T03:55:13.040Z,"57 km W of Kirakira, Solomon Islands",earthquake,10,7.384,0.112,24,reviewed,us,us
2022-10-21T02:24:34.856Z,-31.0998,58.7547,10,5,mb,38,92,10.427,0.92,us,us6000iver,2022-10-21T02:41:03.040Z,"Southwest Indian Ridge",earthquake,9.42,1.826,0.1,33,reviewed,us,us
2022-10-21T02:13:42.002Z,-50.5922,139.3802,10,4.5,mb,15,108,9.415,0.88,us,us6000ivek,2022-10-21T02:28:46.040Z,"western Indian-Antarctic Ridge",earthquake,10.9,1.953,0.15,13,reviewed,us,us
2022-10-21T01:00:08.473Z,43.3244,140.1377,180.333,4.1,mb,41,72,1.949,0.64,us,us6000ive9,2022-10-21T01:26:44.040Z,"49 km NW of Iwanai, Japan",earthquake,8.11,3.651,0.107,24,reviewed,us,us
2022-10-21T00:37:05.784Z,-23.0963,-178.1837,294.358,4.5,mb,44,124,3.363,0.85,us,us6000ive5,2022-10-21T01:01:12.040Z,"south of the Fiji Islands",earthquake,14.33,7.162,0.063,75,reviewed,us,us
2022-10-20T23:55:51.240Z,11.5051,-86.9253,51.108,4.6,mb,57,175,0.921,0.52,us,us6000ive2,2022-10-21T00:18:23.040Z,"",earthquake,2.14,10.383,0.042,172,reviewed,us,us
2022-10-20T22:59:08.149Z,-0.8212,121.575,11.794,4.9,mb,63,47,1.216,0.67,us,us6000ivdu,2022-10-20T23:16:26.040Z,"111 km NE of Poso, Indonesia",earthquake,2.53,4.242,0.087,42,reviewed,us,us
2022-10-20T22:50:52.191Z,51.4866,-174.4002,32.761,4.6,mb,96,178,0.727,0.91,us,us6000ivdr,2022-10-22T05:07:44.413Z,"80 km S of Atka, Alaska",earthquake,7.3,6.373,0.045,150,reviewed,us,us
2022-10-20T20:47:41.133Z,-7.063,129.235,169.55,4.4,mb,15,77,2.241,0.89,us,us6000ivcn,2022-10-20T21:04:37.040Z,"294 km ENE of Lospalos, Timor Leste",earthquake,8.22,11.519,0.189,8,reviewed,us,us
2022-10-20T20:46:03.374Z,-24.0432,-70.6892,29.606,4.8,mb,42,144,0.636,0.96,us,us6000ivck,2022-10-20T22:14:43.374Z,"52 km SW of Antofagasta, Chile",earthquake,6.27,3.006,0.185,9,reviewed,us,us
2022-10-20T20:45:51.540Z,18.7233,-64.4693,5,3.57,md,12,293,0.6123,0.94,pr,pr2022293000,2022-10-20T21:08:29.040Z,"55 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,6.36,6.28,0.15,10,reviewed,pr,pr
2022-10-20T20:25:22.627Z,-7.4028,128.6449,132.776,4.3,mb,15,63,2.693,1.55,us,us6000ivcf,2022-10-20T20:43:31.040Z,"219 km NE of Lospalos, Timor Leste",earthquake,9.11,11.266,0.265,4,reviewed,us,us
2022-10-20T19:37:01.478Z,-21.6139,169.2036,10,4.9,mb,82,116,1.909,0.64,us,us6000ivc0,2022-10-20T20:38:04.040Z,"137 km E of Tadine, New Caledonia",earthquake,11.4,1.918,0.063,80,reviewed,us,us
2022-10-20T19:04:24.165Z,-49.7342,164.2119,17.226,4.6,mb,33,89,3.937,0.8,us,us6000ivbq,2022-10-20T21:13:18.040Z,"Auckland Islands, New Zealand region",earthquake,8.45,5.006,0.193,8,reviewed,us,us
2022-10-20T17:21:39.710Z,60.9482,-150.2302,40.4,3.7,ml,,,,0.57,ak,ak022dgupn0v,2022-10-22T16:16:06.596Z,"Kenai Peninsula, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-10-20T17:14:03.812Z,37.4694,37.1136,10,4,mb,39,41,1.704,0.84,us,us6000ivav,2022-10-20T21:23:11.040Z,"16 km W of Pazarc?k, Turkey",earthquake,4.99,1.69,0.13,16,reviewed,us,us
2022-10-20T14:23:55.339Z,-17.9725,-178.2404,611.375,4.5,mb,48,57,3.538,0.53,us,us6000iv7j,2022-10-20T14:41:48.040Z,"258 km E of Levuka, Fiji",earthquake,9.13,8.803,0.058,88,reviewed,us,us
2022-10-20T12:29:51.916Z,20.8176,120.2397,13.104,4.9,mb,63,104,2.138,0.98,us,us6000iv6k,2022-10-20T12:51:46.040Z,"141 km SSW of Hengchun, Taiwan",earthquake,8.77,4.649,0.067,70,reviewed,us,us
